GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
Desferrioxamine uA1	Desferrioxamine uA1			other	metal chelator		bacteria	bacteria	bacteria produced	bacteria produced, species unknown						yes	no	yes	no		
Desferrioxamine X1	Desferrioxamine X1	InChI=1S/C25H44N6O9/c32-20-8-12-24(36)30(39)18-6-4-16-28-22(34)10-13-25(37)31(40)19-7-3-15-27-21(33)9-11-23(35)29(38)17-5-1-2-14-26-20/h38-40H,1-19H2,(H,26,32)(H,27,33)(H,28,34)	C1CCNC(=O)CCC(=O)N(CCCCNC(=O)CCC(=O)N(CCCCNC(=O)CCC(=O)N(CC1)O)O)O	other	metal chelator		bacteria	bacteria	bacteria produced	bacteria produced, species unknown						yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/14671619
Spectral Match to Enterodiol from NIST14	Enterodiol	InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1	C1=CC(=CC(=C1)O)CC(CO)C(CC2=CC(=CC=C2)O)CO	phytochemical	lignan		bacteria	bacteria	bacteria modified	bacteria modified food					plant, Stevia spp.	yes		yes	no	gut bacteria food product	https://pubchem.ncbi.nlm.nih.gov/compound/115089#section=Top
Massbank:EA066012 Galaxolidone|1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran-1-on	Galaxolidone	InChI=1S/C18H24O2/c1-10-9-20-16(19)13-8-15-14(7-12(10)13)17(3,4)11(2)18(15,5)6/h7-8,10-11H,9H2,1-6H3	O=C1C2=CC(C(C)(C)C(C)C3(C)C)=C3C=C2C(C)CO1	other	phenol	benzopyran	bacteria	bacteria	bacteria modified	bacteria modified xenobiotic					Betula	yes		yes	no	metabolism by marine organisms	http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83519
Glycodeoxycholic acid	Glycodeoxycholic acid	InChI=1S/C26H43NO5/c1-15(4-9-23(30)27-14-24(31)32)19-7-8-20-18-6-5-16-12-17(28)10-11-25(16,2)21(18)13-22(29)26(19,20)3/h15-22,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)	CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/3493#section=Top
.alpha.-Hyodeoxycholic acid methyl ester	Hyodeoxycholic acid methyl ester	InChI=1S/C25H42O4/c1-15(5-8-23(28)29-4)18-6-7-19-17-14-22(27)21-13-16(26)9-11-25(21,3)20(17)10-12-24(18,19)2/h15-22,26-27H,5-14H2,1-4H3/t15-,16-,17+,18-,19+,20+,21+,22+,24-,25-/m1/s1	CC(CCC(=O)OC)C1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	no	yes	no		via analogy to Hyodeoxycholic acid
Lithocholic acid	Lithocholic acid	InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16-,17-,18+,19-,20+,21+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/9903;https://en.wikipedia.org/wiki/Lithocholic_acid
Methyl deoxycholate	Methyl deoxycholate	InChI=1S/C25H42O4/c1-15(5-10-23(28)29-4)19-8-9-20-18-7-6-16-13-17(26)11-12-24(16,2)21(18)14-22(27)25(19,20)3/h15-22,26-27H,5-14H2,1-4H3/t15-,16-,17-,18+,19-,20+,21+,22+,24+,25-/m1/s1	CC(CCC(=O)OC)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite					citrus	yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Methyl_deoxycholate#section=Top
NCGC00180673-03!1,12,23-trihydroxy-1,6,12,17,23,28-hexazacyclotritriacontane-2,5,13,16,24,27-hexone	Nocardamin	InChI=1S/C27H48N6O9/c34-22-10-14-26(38)32(41)20-8-3-6-18-30-24(36)12-15-27(39)33(42)21-9-2-5-17-29-23(35)11-13-25(37)31(40)19-7-1-4-16-28-22/h40-42H,1-21H2,(H,28,34)(H,29,35)(H,30,36)	C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O	other	metal chelator		bacteria	bacteria	bacteria produced	multiple bacteria, species known						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Nocardamin#section=Top
phenazine-1-carboxylic acid	Phenazine-1-carboxylic acid	InChI=1S/C13H8N2O2/c16-13(17)8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H,(H,16,17)	C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)O			phenazine	bacteria	bacteria	bacteria produced	Psuedomonas metabolite					citrus	yes		yes	no		http://www.koreascience.or.kr/article/ArticleFullRecord.jsp?cn=E1MBA4_2005_v15n1_86
Phytomonic acid	Phytomonic acid	InChI=1S/C19H36O2/c1-2-3-4-10-13-17-16-18(17)14-11-8-6-5-7-9-12-15-19(20)21/h17-18H,2-16H2,1H3,(H,20,21)	CCCCCCC1CC1CCCCCCCCCC(=O)O	lipid	fatty acid epoxidation	lipid	bacteria	bacteria	bacteria produced	multiple bacteria, species known					citrus	yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Phytomonic_acid
Spectra matches to compound Putisolvin	Putisolvin				lipopeptide		bacteria	bacteria	bacteria produced	Psuedomonas metabolite					Pseudomonas putida	yes		yes	no		
PyroGlu-Phe	PyroGlu-Phe			amino acid / peptide	dipeptide	pyro dipeptide	multiple sources	bacteria	bacteria produced	Lactobacillus metabolite						yes	yes	yes	no		https://www.nature.com/articles/ja2013126
Spectra matches to compound Tolaasin D	Tolaasin D	InChI=1S/C94H163N21O25/c1-21-24-25-29-56(119)44-71(121)98-58(23-3)93(138)115-38-28-31-69(115)87(132)108-67(45-117)85(130)105-65(42-49(8)9)83(128)111-73(52(14)15)90(135)109-68(46-118)86(131)106-66(43-50(10)11)84(129)112-75(54(18)19)91(136)113-74(53(16)17)89(134)102-59(32-33-70(97)120)78(123)104-64(41-48(6)7)82(127)110-72(51(12)13)88(133)99-57(22-2)77(122)114-76-55(20)140-94(139)62(30-26-27-36-95)103-79(124)60(34-37-96)100-80(125)61(35-39-116)101-81(126)63(40-47(4)5)107-92(76)137/h22-23,47-56,59-69,72-76,116-119H,21,24-46,95-96H2,1-20H3,(H2,97,120)(H,98,121)(H,99,133)(H,100,125)(H,101,126)(H,102,134)(H,103,124)(H,104,123)(H,105,130)(H,106,131)(H,107,137)(H,108,132)(H,109,135)(H,110,127)(H,111,128)(H,112,129)(H,113,136)(H,114,122)/b57-22-,58-23-/t55-,56?,59-,60-,61+,62+,63+,64+,65+,66-,67+,68-,69-,72-,73-,74+,75-,76-/m1/s1	CCCCCC(CC(=O)NC(=CC)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(=CC)C(=O)NC2C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CC(C)C)CCO)CCN)CCCCN)C)O	amino acid / peptide			bacteria	bacteria	bacteria produced	bacteria produced, species unknown					hydrogenated vegetable oil	yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/44559561#section=Top
Ursocholic acid	Ursocholic acid	InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19+,20+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite					soy	yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/ursocholic_acid#section=Top
MLS000028461-01!URSODEOXYCHOLIC ACID	Ursodeoxycholic acid / Ursodiol	InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite					citrus	yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/31401#section=Top
Spectral Match to Ursodeoxycholic acid from NIST14	Ursodeoxycholic acid / Ursodiol	InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite					soy	yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/31401#section=Top
Ursodiol	Ursodeoxycholic acid / Ursodiol	InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite						yes	no	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/31401#section=Top
Spectral Match to Glycoursodeoxycholic acid from NIST14	Ursodeoxycholylglycine	InChI=1S/C26H43NO5/c1-15(4-7-22(30)27-14-23(31)32)18-5-6-19-24-20(9-11-26(18,19)3)25(2)10-8-17(28)12-16(25)13-21(24)29/h15-21,24,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)/t15-,16+,17-,18-,19+,20+,21+,24+,25+,26-/m1/s1	CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite					plant	yes	yes	yes	no	Glycoursodeoxycholic acid; Glycoursodeoxycholate; Ursodeoxycholylglycine; Glycine ursodeoxycholic acid; GUDCA	https://pubchem.ncbi.nlm.nih.gov/compound/12310288
Putative (3-hydroxyheptadecanoyl)glycine	(3-hydroxyheptadecanoyl)glycine	InChI=1S/C19H37NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)15-18(22)20-16-19(23)24/h17,21H,2-16H2,1H3,(H,20,22)(H,23,24)	O=C(O)CNC(CC(O)CCCCCCCCCCCCCC)=O	lipid	N-acyl Amides	N-acyl Amides	bacteria	bacteria	bacteria produced	bacteria produced, species unknown							yes	no	yes		https://doi.org/10.1073/pnas.1508737112
Putative Commendamide	(3-hydroxyhexadecanoyl)glycine	InChI=1S/C18H35NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-16(20)14-17(21)19-15-18(22)23/h16,20H,2-15H2,1H3,(H,19,21)(H,22,23)	OC(CNC(CC(O)CCCCCCCCCCCCC)=O)=O	lipid	N-acyl Amides	N-acyl Amides	bacteria	bacteria	bacteria produced	Bacteroides metabolite							yes	no	yes	GPCR	https://doi.org/10.1073/pnas.1508737112;https://www.caymanchem.com/product/18421
Putative (3-hydroxypentadecanoyl)lysine	(3-hydroxypentadecanoyl)lysine	InChI=1S/C21H42N2O4/c1-2-3-4-5-6-7-8-9-10-11-14-18(24)17-20(25)23-19(21(26)27)15-12-13-16-22/h18-19,24H,2-17,22H2,1H3,(H,23,25)(H,26,27)/t18?,19-/m0/s1	NCCCC[C@@H](C(O)=O)NC(CC(O)CCCCCCCCCCCC)=O	lipid	N-acyl Amides	N-acyl Amides	bacteria	bacteria	bacteria produced	bacteria produced, species unknown							yes	no	yes		https://doi.org/10.1073/pnas.1508737112
Leucocholic acid	Leucocholic acid			lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite							yes	no	yes		unpublished results
massetolide_F_10208_dereplictor_pv_2.46093e-27	Massetolide_F	InChI=1S/C54H95N9O16/c1-13-14-15-16-17-18-34(66)25-42(67)55-36(21-28(2)3)47(71)56-35(19-20-43(68)69)46(70)63-45-33(12)79-54(78)39(24-31(8)9)59-51(75)41(27-65)61-48(72)37(22-29(4)5)57-50(74)40(26-64)60-49(73)38(23-30(6)7)58-52(76)44(32(10)11)62-53(45)77/h28-41,44-45,64-66H,13-27H2,1-12H3,(H,55,67)(H,56,71)(H,57,74)(H,58,76)(H,59,75)(H,60,73)(H,61,72)(H,62,77)(H,63,70)(H,68,69)/t33-,34-,35-,36+,37+,38+,39+,40-,41-,44-,45-/m1/s1	CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)C)CC(C)C)CO)CC(C)C)CO)CC(C)C)C)O	amino acid / peptide	cyclic peptide	cyclic peptide	bacteria	bacteria	bacteria produced	Psuedomonas metabolite							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/101701399#section=Top;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2293227/;https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-2672.1999.00798.x
Tyrosocholic acid	Tyrosocholic acid			lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite							yes	no	yes		unpublished results
"MLS000863647-01!(E)-1-(2,3-dihydroxy-4,6-dimethoxyphenyl)-3-phenylprop-2-en-1-one"	1-(2,3-dihydroxy-4,6-dimethoxyphenyl)-3-phenylprop-2-en-1-one						bacteria	bacteria	bacteria modified									no	no		
massetolide_E_10207_dereplictor_pv_9.30754e-11	massetolide E	InChI=1S/C53H93N9O16/c1-13-14-15-16-17-18-33(65)24-40(66)54-35(21-27(2)3)46(70)55-34(19-20-41(67)68)45(69)62-44-32(12)78-53(77)43(31(10)11)61-50(74)39(26-64)59-47(71)36(22-28(4)5)56-49(73)38(25-63)58-48(72)37(23-29(6)7)57-51(75)42(30(8)9)60-52(44)76/h27-39,42-44,63-65H,13-26H2,1-12H3,(H,54,66)(H,55,70)(H,56,73)(H,57,75)(H,58,72)(H,59,71)(H,60,76)(H,61,74)(H,62,69)(H,67,68)/t32-,33-,34-,35+,36+,37+,38-,39-,42-,43+,44-/m1/s1	CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC1C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)C)CC(C)C)CO)CC(C)C)CO)C(C)C)C)O	other			bacteria	bacteria	bacteria produced	bacterially derived								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/101701398
Putisolvin Derivative [Putative Val -&gt; Leu]	Putisolvin Derivative [Putative Val -&gt; Leu]						bacteria	bacteria										no	no		
Sulfated glycocholic acid murine	Sulfated glycocholic acid murine			lipid	bile acid	second	bacteria	bacteria	bacteria modified	bacteria modified human metabolite								no	no		
3-(2-Hydroxyethyl)indole	3-(2-Hydroxyethyl)indole	InChI=1S/C10H11NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,7,11-12H,5-6H2	C1=CC=C2C(=C1)C(=CN2)CCO	other		indole	bacteria	bacteria	bacteria metabolite	fermentation								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Tryptophol
5,7-Dihydroxy-3',4',5'-trimethoxyflavanone	5,7-Dihydroxy-3',4',5'-trimethoxyflavanone	InChI=1S/C18H18O7/c1-22-15-4-9(5-16(23-2)18(15)24-3)13-8-12(21)17-11(20)6-10(19)7-14(17)25-13/h4-7,13,19-20H,8H2,1-3H3	COC1=CC(=CC(=C1OC)OC)C2CC(=O)C3=C(C=C(C=C3O2)O)O	phytochemical	flavonoid	flavonone	bacteria	bacteria	bacteria modified	bacteria modified food								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/462696
6,4'-Dimethoxy-7-hydroxyisoflavone	Afrormosin	InChI=1S/C17H14O5/c1-20-11-5-3-10(4-6-11)13-9-22-15-8-14(18)16(21-2)7-12(15)17(13)19/h3-9,18H,1-2H3	COC1=CC=C(C=C1)C2=COC3=CC(=C(C=C3C2=O)OC)O	phytochemical	flavonoid	isoflavone	bacteria	bacteria	 bacteria modified	bacteria modified food								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Afromosin
7,3',4',5'-Tetrahydroxyflavone	7,3',4',5'-Tetrahydroxyflavone	InChI=1S/C15H10O6/c16-8-1-2-9-10(17)6-13(21-14(9)5-8)7-3-11(18)15(20)12(19)4-7/h1-6,16,18-20H	C1=CC2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C(=C3)O)O)O	phytochemical	flavonoid	flavone	bacteria	bacteria	bacteria modified	bacteria modified food								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/5393164
Acacetin	Acacetin	InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-8,17-18H,1H3	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	phytochemical	flavonoid	flavone	bacteria	bacteria	bacteria modified	bacteria modified food								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/acacetin
Antanapeptin B	Antanapeptin B			amino acid / peptide	cyclic depsipeptide		bacteria	bacteria	bacteria produced	cyanobacterial metabolite					Lyngbya majuscula			no	no		https://pubs.acs.org/doi/abs/10.1021/np010348n
Antanapeptin C	Antanapeptin C			amino acid / peptide	cyclic depsipeptide		bacteria	bacteria	bacteria produced	cyanobacterial metabolite					Lyngbya majuscula			no	no		https://pubs.acs.org/doi/abs/10.1021/np010348n
Ferrioxamine	Ferrioxamine			other	metal chelator		bacteria	bacteria	bacteria produced	bacteria produced, species unknown								no	no		
halobacillin_08708_dereplictor_pv_2.36662e-33	halobacillin	literature limited	literature limited	literature limited	literature limited	literature limited	bacteria	bacteria	literature limited	literature limited								no	no		
Hyodeoxycholic acid	Hyodeoxycholic acid	InChI=1S/C24H40O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17-,18+,19+,20+,21+,23-,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite								no	no		
Laxaphycin_D_47962_dereplictor_pv_2.7753e-14	Laxaphycin D	InChI=1S/C63H110N14O19/c1-16-18-19-21-36-27-41(81)70-42(29(5)6)56(89)74-45(49(82)30(7)8)58(91)66-33(12)53(86)73-46(50(83)31(9)10)59(92)68-37(23-24-40(64)80)62(95)76(15)48(32(11)17-2)61(94)75-47(51(84)52(65)85)60(93)72-44(35(14)79)63(96)77-25-20-22-39(77)55(88)69-38(26-28(3)4)54(87)71-43(34(13)78)57(90)67-36/h28-39,42-51,78-79,82-84H,16-27H2,1-15H3,(H2,64,80)(H2,65,85)(H,66,91)(H,67,90)(H,68,92)(H,69,88)(H,70,81)(H,71,87)(H,72,93)(H,73,86)(H,74,89)(H,75,94)/t32?,33-,34-,35-,36+,37-,38+,39?,42-,43+,44+,45-,46?,47+,48+,49?,50?,51?/m0/s1	CCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)C(C)O)CC(C)C)C(C)O)C(C(=O)N)O)C(C)CC)C)CCC(=O)N)C(C(C)C)O)C)C(C(C)C)O)C(C)C	amino acid / peptide	cyclic peptide		endogenous antimicrobial	bacteria	bacteria produced	cyanobacterial metabolite			yes	antimicrobial				no	no		https://pubchem.ncbi.nlm.nih.gov/compound/101632355
Lichenysin_A_38808_dereplictor_pv_8.81201e-29	Lichenysin A						bacteria	bacteria	bacteria produced	multiple bacteria, species known								no	no		
Lichenysin-G4_44124_dereplictor_pv_3.15859e-11	Lichenysin G4						bacteria	bacteria	bacteria produced	multiple bacteria, species known								no	no		
Methyl chenodeoxycholate	Methyl chenodeoxycholate	InChI=1S/C25H42O4/c1-15(5-8-22(28)29-4)18-6-7-19-23-20(10-12-25(18,19)3)24(2)11-9-17(26)13-16(24)14-21(23)27/h15-21,23,26-27H,5-14H2,1-4H3/t15-,16+,17-,18-,19+,20+,21-,23+,24+,25-/m1/s1	CC(CCC(=O)OC)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	lipid	bile acid	secondary conjugated bile acid	bacteria	bacteria	bacteria modified	bacteria modified human metabolite								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Methyl_chenodeoxycholate
Spectral Match to 3-(2-Hydroxyethyl)indole from NIST14	3-(2-Hydroxyethyl)indole	InChI=1S/C10H11NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,7,11-12H,5-6H2	C1=CC=C2C(=C1)C(=CN2)CCO	other		indole	bacteria	bacteria	bacteria metabolite	fermentation								no	no		
Tetrahydrocurcumin	Tetrahydrocurcumin	InChI=1S/C21H24O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h5-6,9-12,24-25H,3-4,7-8,13H2,1-2H3	COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O	phytochemical	terpene	curcuminoid	bacteria	bacteria	bacteria modified	bacteria modified food								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Tetrahydrocurcumin#section=ChEBI-Ontology
UHQ (mixed MS2 C11:db:UHQ)	2-undecylquinolin-4-ol	InChI=1S/C20H29NO/c1-2-3-4-5-6-7-8-9-10-13-17-16-20(22)18-14-11-12-15-19(18)21-17/h11-12,14-16H,2-10,13H2,1H3,(H,21,22)	OC1=CC(CCCCCCCCCCC)=NC2=CC=CC=C12			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite											http://www.pnas.org/content/pnas/101/5/1339.full.pdf
mixedMS2: 2-(undec-1-en-1-yl)quinolin-4-ol (Series 2 HAQ C11:1) and 2-undecylquinolin-4-ol (Series 1 HAQ C11)	mixedMS2: 2-(undec-1-en-1-yl)quinolin-4-ol (Series 2 HAQ C11:1) and 2-undecylquinolin-4-ol (Series 1 HAQ C11)					quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite											http://www.pnas.org/content/pnas/101/5/1339.full.pdf
phenylethylamide 275	Phenylethylamide 275	InChI=1S/C18H29NO/c1-2-3-4-5-6-7-11-14-18(20)19-16-15-17-12-9-8-10-13-17/h8-10,12-13H,2-7,11,14-16H2,1H3,(H,19,20)	O=C(CCCCCCCCC)NCCC1=CC=CC=C1			phenylethylamide	bacteria	bacteria	bacteria produced	Xenorhabdus doucetiae metabolite							yes		yes		https://www.nature.com/articles/s41564-017-0039-9#Sec23;Proschak, A., Schultz, K., Herrmann, J., Dowling, A. J., Brachmann, A. O., ffrench-Constant, R., et al. (2011). Cytotoxic Fatty Acid Amides from Xenorhabdus. ChemBioChem, 12(13), 2011–2015. http://doi.org/10.1002/cbic.201100223
phenylethylamide 331	Phenylethylamide 331	InChI=1S/C22H37NO/c1-2-3-4-5-6-7-8-9-10-11-15-18-22(24)23-20-19-21-16-13-12-14-17-21/h12-14,16-17H,2-11,15,18-20H2,1H3,(H,23,24)	O=C(CCCCCCCCCCCCC)NCCC1=CC=CC=C1			phenylethylamide	bacteria	bacteria	bacteria produced	Xenorhabdus doucetiae metabolite							yes		yes		https://www.nature.com/articles/s41564-017-0039-9#Sec23;Proschak, A., Schultz, K., Herrmann, J., Dowling, A. J., Brachmann, A. O., ffrench-Constant, R., et al. (2011). Cytotoxic Fatty Acid Amides from Xenorhabdus. ChemBioChem, 12(13), 2011–2015. http://doi.org/10.1002/cbic.201100223
phenylethylamide 359	Phenylethylamide 359	InChI=1S/C24H41NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-17-20-24(26)25-22-21-23-18-15-14-16-19-23/h14-16,18-19H,2-13,17,20-22H2,1H3,(H,25,26)	O=C(CCCCCCCCCCCCCCC)NCCC1=CC=CC=C1			phenylethylamide	bacteria	bacteria	bacteria produced	Xenorhabdus doucetiae metabolite							yes		yes		https://www.nature.com/articles/s41564-017-0039-9#Sec23;Proschak, A., Schultz, K., Herrmann, J., Dowling, A. J., Brachmann, A. O., ffrench-Constant, R., et al. (2011). Cytotoxic Fatty Acid Amides from Xenorhabdus. ChemBioChem, 12(13), 2011–2015. http://doi.org/10.1002/cbic.201100223
foampeptide D	Xefoampeptide D	InChI=1S/C25H45N3O5/c1-9-10-11-17-14-20(29)26-18(12-15(2)3)22(30)27-19(13-16(4)5)23(31)28-21(24(32)33-17)25(6,7)8/h15-19,21H,9-14H2,1-8H3,(H,26,29)(H,27,30)(H,28,31)/t17?,18-,19+,21?/m1/s1	O=C1NC(C(C)(C)C)C(OC(CCCC)CC(N[C@H](CC(C)C)C(N[C@H]1CC(C)C)=O)=O)=O	amino acid / peptide	cyclic peptide	Xefoampeptide	bacteria	bacteria	bacteria produced	Xenorhabdus beddingii metabolite							yes		yes		https://www.nature.com/articles/s41564-017-0039-9#Sec23
